LAST SEEN   TYPE      REASON                          OBJECT                                                   MESSAGE
28m         Normal    SuccessfulCreate                statefulset/dx-deployment-web-engine                     create Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine successful
28m         Normal    Scheduled                       pod/dx-deployment-web-engine-0                           Successfully assigned digital-experience/dx-deployment-web-engine-0 to worker-0
28m         Normal    Created                         pod/dx-deployment-web-engine-0                           Created container: web-engine
28m         Normal    Started                         pod/dx-deployment-web-engine-0                           Started container web-engine
28m         Normal    Pulled                          pod/dx-deployment-web-engine-0                           Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
28m         Normal    Started                         pod/dx-deployment-web-engine-0                           Started container system-out-log
28m         Normal    Pulled                          pod/dx-deployment-web-engine-0                           Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
28m         Normal    Pulled                          pod/dx-deployment-web-engine-0                           Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-webengine:CF231_20251025-2351" already present on machine
28m         Normal    Started                         pod/dx-deployment-web-engine-0                           Started container trace-log
28m         Normal    AddedInterface                  pod/dx-deployment-web-engine-0                           Add eth0 [10.128.2.50/23] from ovn-kubernetes
28m         Normal    Created                         pod/dx-deployment-web-engine-0                           Created container: system-out-log
28m         Normal    Created                         pod/dx-deployment-web-engine-0                           Created container: trace-log
26m         Warning   Unhealthy                       pod/dx-deployment-ring-api-69d69497d5-ws76n              Readiness probe failed: HTTP probe failed with statuscode: 500
26m         Warning   Unhealthy                       pod/dx-deployment-web-engine-0                           Liveness probe failed:
26m         Warning   Unhealthy                       pod/dx-deployment-web-engine-0                           Readiness probe failed:
26m         Warning   Unhealthy                       pod/dx-deployment-content-composer-79d7fd546f-gqdpn      Readiness probe failed: HTTP probe failed with statuscode: 500
24m         Warning   Unhealthy                       pod/dx-deployment-peopleservice-6b76659cc9-wlrdz         Liveness probe failed: HTTP probe failed with statuscode: 503
12m         Normal    Started                         pod/dx-deployment-haproxy-76594d558b-b4xf4               Started container haproxy
7m27s       Normal    Created                         pod/dx-deployment-haproxy-76594d558b-b4xf4               Created container: haproxy
3m27s       Warning   BackOff                         pod/dx-deployment-haproxy-76594d558b-b4xf4               Back-off restarting failed container haproxy in pod dx-deployment-haproxy-76594d558b-b4xf4_digital-experience(9a50b086-fb45-4bf3-abfc-90d54bc1e8b9)
3m3s        Warning   Unhealthy                       pod/dx-deployment-peopleservice-6b76659cc9-wlrdz         Readiness probe failed: HTTP probe failed with statuscode: 503
