LAST SEEN   TYPE      REASON                  OBJECT                                                              MESSAGE
58m         Warning   BackOff                 pod/dx-deployment-digital-asset-management-0                        Back-off restarting failed container digital-asset-management in pod dx-deployment-digital-asset-management-0_digital-experience(c1ff7f3c-3300-4141-86d4-2ca6902067a4)
58m         Normal    Created                 pod/dx-deployment-digital-asset-management-0                        Created container: digital-asset-management
58m         Normal    Started                 pod/dx-deployment-digital-asset-management-0                        Started container digital-asset-management
58m         Normal    Pulled                  pod/dx-deployment-digital-asset-management-0                        Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-digital-asset-manager:v1.43.0_20251024-1357" already present on machine
58m         Warning   Unhealthy               pod/dx-deployment-web-engine-0                                      Liveness probe failed:
57m         Warning   Unhealthy               pod/dx-deployment-web-engine-0                                      Readiness probe failed:
57m         Normal    Killing                 pod/dx-deployment-web-engine-0                                      Stopping container system-out-log
57m         Normal    SuccessfulDelete        statefulset/dx-deployment-web-engine                                delete Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine successful
57m         Normal    Killing                 pod/dx-deployment-web-engine-0                                      Stopping container trace-log
57m         Normal    Killing                 pod/dx-deployment-web-engine-0                                      Stopping container web-engine
57m         Normal    Scheduled               pod/dx-deployment-web-engine-0                                      Successfully assigned digital-experience/dx-deployment-web-engine-0 to worker-1
57m         Normal    SuccessfulCreate        statefulset/dx-deployment-web-engine                                create Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine successful
57m         Normal    AddedInterface          pod/dx-deployment-web-engine-0                                      Add eth0 [10.129.2.152/23] from ovn-kubernetes
57m         Normal    Started                 pod/dx-deployment-web-engine-0                                      Started container trace-log
57m         Normal    Created                 pod/dx-deployment-web-engine-0                                      Created container: trace-log
57m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
57m         Normal    Started                 pod/dx-deployment-web-engine-0                                      Started container web-engine
57m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-webengine:CF231_20251025-2351" already present on machine
57m         Normal    Created                 pod/dx-deployment-web-engine-0                                      Created container: system-out-log
57m         Normal    Pulled                  pod/dx-deployment-web-engine-0                                      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
57m         Normal    Created                 pod/dx-deployment-web-engine-0                                      Created container: web-engine
57m         Normal    Started                 pod/dx-deployment-web-engine-0                                      Started container system-out-log
55m         Warning   Unhealthy               pod/dx-deployment-web-engine-0                                      Liveness probe failed:
54m         Warning   Unhealthy               pod/dx-deployment-web-engine-0                                      Readiness probe failed:
43m         Normal    Killing                 pod/dx-deployment-web-engine-0                                      Stopping container trace-log
43m         Normal    Killing                 pod/dx-deployment-image-processor-747c9457fc-jjxfr                  Stopping container image-processor
43m         Normal    Killing                 pod/dx-deployment-digital-asset-management-0                        Stopping container prereqs-checker
43m         Normal    Killing                 pod/dx-deployment-digital-asset-management-0                        Stopping container digital-asset-management
43m         Normal    Killing                 pod/dx-deployment-haproxy-8cc95c9c9-x6jsd                           Stopping container haproxy
43m         Normal    Killing                 pod/dx-deployment-content-composer-79d7fd546f-zd78t                 Stopping container content-composer
43m         Normal    Killing                 pod/dx-deployment-persistence-node-0                                Stopping container prereqs-checker
