LAST SEEN   TYPE      REASON                  OBJECT                                                            MESSAGE
15m         Normal    Started                 pod/dx-deployment-persistence-node-0                              Started container persistence-metrics-exporter
15m         Normal    Pulled                  pod/dx-deployment-persistence-node-0                              Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
15m         Normal    Pulled                  pod/dx-deployment-persistence-node-0                              Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-persistence-metrics-exporter:v1.39.0_20251024-1357" already present on machine
15m         Normal    AddedInterface          pod/dx-deployment-persistence-node-0                              Add eth0 [10.131.0.143/23] from ovn-kubernetes
15m         Normal    Created                 pod/dx-deployment-persistence-node-0                              Created container: persistence-metrics-exporter
15m         Normal    Started                 pod/dx-deployment-persistence-node-0                              Started container prereqs-checker
15m         Normal    Created                 pod/dx-deployment-persistence-node-0                              Created container: prereqs-checker
15m         Normal    Pulled                  pod/dx-deployment-persistence-node-0                              Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-prereqs-checker:v1.0.0_20251024-1353" already present on machine
15m         Normal    Started                 pod/dx-deployment-persistence-node-0                              Started container persistence-repmgr-log
15m         Normal    Created                 pod/dx-deployment-persistence-node-0                              Created container: persistence-repmgr-log
15m         Warning   Unhealthy               pod/dx-deployment-persistence-node-0                              Readiness probe failed: Postgres Server is not ready...
15m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller...
14m         Normal    Started                 pod/dx-deployment-persistence-node-0                              Started container persistence-node
14m         Normal    Pulled                  pod/dx-deployment-persistence-node-0                              Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-persistence-node:v1.31_20251024-1354" already present on machine
14m         Normal    Created                 pod/dx-deployment-persistence-node-0                              Created container: persistence-node
14m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Liveness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller...
