LAST SEEN   TYPE      REASON                          OBJECT                                                            MESSAGE
16m         Normal    Scheduled                       pod/dx-deployment-haproxy-8cc95c9c9-htz5g                         Successfully assigned digital-experience/dx-deployment-haproxy-8cc95c9c9-htz5g to worker-0
16m         Normal    SuccessfulCreate                statefulset/dx-deployment-digital-asset-management                create Pod dx-deployment-digital-asset-management-0 in StatefulSet dx-deployment-digital-asset-management successful
16m         Warning   FailedScheduling                pod/dx-deployment-web-engine-0                                    0/6 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
16m         Normal    Scheduled                       pod/dx-deployment-web-engine-0                                    Successfully assigned digital-experience/dx-deployment-web-engine-0 to worker-1
16m         Normal    Scheduled                       pod/dx-deployment-digital-asset-management-0                      Successfully assigned digital-experience/dx-deployment-digital-asset-management-0 to worker-0
16m         Normal    ScalingReplicaSet               deployment/dx-deployment-content-composer                         Scaled up replica set dx-deployment-content-composer-79d7fd546f from 0 to 1
16m         Normal    SuccessfulCreate                replicaset/dx-deployment-content-composer-79d7fd546f              Created pod: dx-deployment-content-composer-79d7fd546f-9cjbr
16m         Normal    SuccessfulCreate                statefulset/dx-deployment-web-engine                              create Claim customization-dx-deployment-web-engine-0 Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine success
16m         Normal    SuccessfulCreate                statefulset/dx-deployment-web-engine                              create Claim log-dx-deployment-web-engine-0 Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine success
16m         Normal    ExternalProvisioning            persistentvolumeclaim/log-dx-deployment-web-engine-0              Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
16m         Normal    SuccessfulCreate                statefulset/dx-deployment-persistence-node                        create Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node successful
16m         Normal    SuccessfulCreate                statefulset/dx-deployment-persistence-node                        create Claim database-dx-deployment-persistence-node-0 Pod dx-deployment-persistence-node-0 in StatefulSet dx-deployment-persistence-node success
16m         Normal    Pulled                          pod/dx-deployment-content-composer-79d7fd546f-9cjbr               Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-content-composer:v1.44.0_20251024-1345" already present on machine
16m         Normal    AddedInterface                  pod/dx-deployment-content-composer-79d7fd546f-9cjbr               Add eth0 [10.128.2.51/23] from ovn-kubernetes
16m         Normal    Scheduled                       pod/dx-deployment-content-composer-79d7fd546f-9cjbr               Successfully assigned digital-experience/dx-deployment-content-composer-79d7fd546f-9cjbr to worker-0
16m         Normal    Provisioning                    persistentvolumeclaim/log-dx-deployment-web-engine-0              External provisioner is provisioning volume for claim "digital-experience/log-dx-deployment-web-engine-0"
16m         Normal    Provisioning                    persistentvolumeclaim/database-dx-deployment-persistence-node-0   External provisioner is provisioning volume for claim "digital-experience/database-dx-deployment-persistence-node-0"
16m         Normal    Scheduled                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Successfully assigned digital-experience/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9 to worker-1
16m         Normal    ExternalProvisioning            persistentvolumeclaim/database-dx-deployment-persistence-node-0   Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
16m         Normal    ProvisioningSucceeded           persistentvolumeclaim/customization-dx-deployment-web-engine-0    Successfully provisioned volume pvc-382b116b-e9e8-4d22-835f-1ee52774ff03
16m         Normal    Provisioning                    persistentvolumeclaim/customization-dx-deployment-web-engine-0    External provisioner is provisioning volume for claim "digital-experience/customization-dx-deployment-web-engine-0"
16m         Normal    Scheduled                       pod/dx-deployment-ring-api-69d69497d5-wh42c                       Successfully assigned digital-experience/dx-deployment-ring-api-69d69497d5-wh42c to worker-1
